Feedback,Sentiment,Category
teacher are punctual but they should also give us the some practical knowledge other than theortical,Neutral,Teaching
Good ,Positive,Teaching
Excellent lectures are delivered by teachers and all teachers are very punctual.,Positive,Teaching
Good,Positive,Teaching
teachers give us all the information required to improve the performance.,Positive,Teaching
Yes,Positive,Teaching
good and punctual,Positive,Teaching
It is good,Positive,Teaching
It's good when compare with my Btech lectures and teaching activities.,Positive,Teaching
way of teaching is good,Positive,Teaching
"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine. ",Neutral,Teaching
As compared to other colleges and university our university is perfect in all the aspects,Positive,Teaching
Lectures helps in clear our concept,Positive,Teaching
"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student.",Neutral,Teaching
"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input. ",Positive,Teaching
lecturer are punctual and can interact them easily.,Positive,Teaching
Punctuality is good. Most of the teachers are not interacting with students .,Neutral,Teaching
nice,Positive,Teaching
lecture delivery is not so good,Negative,Teaching
It's good,Positive,Teaching
"Discipline, punctuality , lecture delivery all are good but hv to do some work for quality of lecture",Positive,Teaching
"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems",Neutral,Teaching
Perfect,Positive,Teaching
It is really gud,Positive,Teaching
Very good teaching and management but too much load on student and working hours,Neutral,Teaching
in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they donot interact and do not litsn our problms that means they do not coprate.,Negative,Teaching
According to me everything is going well in accordance to interaction.More than enough is served. ,Positive,Teaching
not effective and satisfactory in terms of lecture delivery by all the faculty .,Negative,Teaching
Accurate,Positive,Teaching
it is good depending on the faculty,Positive,Teaching
"maintained punctuality, good lecture delivery",Positive,Teaching
average,Neutral,Teaching
good,Positive,Teaching
"it is quite good , depending on teacher and their experience",Positive,Teaching
"it is quite good , depends upon teacher and their experience",Positive,Teaching
the way of teaching is good but the time more than enough,Positive,Teaching
good teaching delivery,Positive,Teaching
"good, teacher is delivery the lecture in the best way they can",Positive,Teaching
good and qualified teachers but few lacks in interaction with students and fails to describe a topic,Neutral,Teaching
"very good teaching facilities, lecture given are fruitful and teachers are punctual",Positive,Teaching
interaction is good but not with mostly male lecturers.punctuality is maintained by everyone but lecture delivery not peak quality.,Neutral,Teaching
all things are good,Positive,Teaching
all activties are good,Positive,Teaching
All is good. no other university is so serious about the concept of practicals.,Positive,Teaching
"lecture delivery depends on teacher's knowledge, punctuality is good",Positive,Teaching
way of teaching is average,Positive,Teaching
not so good,Negative,Teaching
the staff is highly punctual ad interactive and encourage students to participate in the class,Positive,Teaching
"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved",Positive,Teaching
good delivery,Positive,Teaching
"our university is good in terms of lecture delivery,interaction and punctuality",Positive,Teaching
very good,Positive,Teaching
"interaction satisfied, lecture delivery good,punctuality always on time",Positive,Teaching
Excellent but it depends upon teacher,Positive,Teaching
 very good.,Positive,Teaching
it is ok,Positive,Teaching
some teachers aren't doing their jobs in very well manner,Negative,Teaching
Some of the teachers are not well experienced but they are interactive and helpful and punctual.,Positive,Teaching
not all the teachers are teaching well but it's fine,Neutral,Teaching
EXCELLENT,Positive,Teaching
"The faculty is good ,interaction between student and teacher is also good",Positive,Teaching
not good,Negative,Teaching
some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++),Negative,Teaching
its to good ,Positive,Teaching
everything is good ,Positive,Teaching
"everything is good but when coming to some lectures who dont have a good grip on subject,they dont behave well with students and they dont even teach all the concepts in the subject. ",Negative,Teaching
excellent,Positive,Teaching
"everything was good regarding to university but, some lecturers don't have grip on the subject and lag in the teaching",Neutral,Teaching
normal,Neutral,Teaching
teaching activities of our university is good. i am satisfied with it.,Positive,Teaching
GOOD,Positive,Teaching
everything is good for faculty,Positive,Teaching
satisfactory,Positive,Teaching
all are good,Positive,Teaching
good but not good . sir improve the subject,Neutral,Teaching
"The university is good but it also has a long way to go. More teachers should have their PhD and college fests related to academic curriculum must be improved to a great extent and must be managed properly.The interaction is good, lecture delivery needs more lucidity. The punctuality is top notch.",Neutral,Teaching
"our university is good in punctuality,lecture delivery but it is not good in terms of interaction",Positive,Teaching
"interaction is very less ,when it comes to lecture delivery its fine but the co cordination not there between the lectueres",Negative,Teaching
All lectures are giving their best to teach the students,Positive,Teaching
our university is very good but in terms of interaction of teachers wd students is not at all fair because they interact wd only students understands his/her teaching they don't make remaining students to understand the topic ,Negative,Teaching
The university consists of a whole world in itself.It is diverse and manages to conduct all events properly.I love being the part of this university where we get equal and all opportunities in all respects and fields.,Positive,Teaching
"teachers are pretty interactive,But it all depends on the student to gain as much as knowledge he can from the teacher.Teachers are punctual and very helpful during exams time.",Positive,Teaching
teaching delivery is good .but it is better to reduce there speed of  lecture delivery to understand the student better,Neutral,Teaching
"overall rating on this activity is 4.5/5 .very nice teaching and interaction between students and lectures was good, every time there will be new and fresh style in  delivering the lectures ,thanks.


 ",Positive,Teaching
"excellent, but reduse the speed of teaching  ,up to understand the students",Neutral,Teaching
"teaching is ok but the interaction with the students need to improve, i mean they have to focus on dull students more  than intelligents....",Neutral,Teaching
Interaction is good but it should b more ...rest is too perfect,Positive,Teaching
"teachers are good in subject,and punctuality",Positive,Teaching
Everything would be fine if there are less number of students in our btech CSE.,Neutral,Teaching
good ,Positive,Teaching
faculties are doing quite well but need more senior lecturers.,Neutral,Teaching
satisfied,Positive,Teaching
"examination department is not good, teaching is quite good, I cant get extra time for extra knowledge, interaction is good


",Positive,Teaching
Well and Good,Positive,Teaching
university management is extordinary but some of the faculty is very bad,Neutral,Teaching
"some lectures are excellent,but not everyone",Neutral,Teaching
It is very good learning in this university,Positive,Teaching
its  booring,Neutral,Teaching
teaching is good but some lecturers are showing partiality between south people and north people,Neutral,Teaching
"teaching is good but some teachers are not able to interact properly and are not able to clear the concepts properly, teachers are punctual. 
",Neutral,Teaching
"Everything is very good. Interaction part is something like teachers mostly interact with each and every student, lecture delivery is very good and punctuality always maintains.",Positive,Teaching
"I am very much satisfied with teaching faculty interms of iteraction,lecture delivery, punctuality etc",Positive,Teaching
they are showing partiality between north indians and south indians,Negative,Teaching
"Interaction is satisfying, Lecture delivery is Good, Punctuality is Excellent

",Positive,Teaching
staff is showing partiality between north indians and south indians ,Negative,Teaching
excellent university  the mode of teaching is completely different than any other university in india. lecturers are very friendly with every one they interact just like friends and they are very punctual,Positive,Teaching
lecture delivery and punctuality was good but the interaction with students was not good.,Neutral,Teaching
punctuality and lecture is good here but interaction isn't good.,Neutral,Teaching
good enough,Positive,Teaching
"In this university there is good interaction with the students, Teachers in this university can deliver the lectures effectively, There is good punctuality in this university

",Positive,Teaching
Very good indeed. ,Positive,Teaching
"Teaching is excellent,but lecture delivery is not up to the mark.Punctuality is good",Positive,Teaching
interaction of some faculty was good but not all faculty..,Neutral,Teaching
"good, and also like the teaching style",Positive,Teaching
"Interaction between students and teachers is good ,The lectures delivery is fine, punctuality is good
 

",Positive,Teaching
not bad,Positive,Teaching
Its Quite Good,Positive,Teaching
very good indeed,Positive,Teaching
not bad..,Positive,Teaching
teaching is good some lecturers are showing partiality between south people and north people,Neutral,Teaching
