Feedback,Sentiment,Category,Priority
teacher are punctual but they should also give us the some practical knowledge other than theortical,Neutral,Teaching,Low
Good ,Positive,Teaching,Low
Excellent lectures are delivered by teachers and all teachers are very punctual.,Positive,Teaching,Low
Good,Positive,Teaching,Low
teachers give us all the information required to improve the performance.,Positive,Teaching,Low
Yes,Positive,Teaching,Low
good and punctual,Positive,Teaching,Low
It is good,Positive,Teaching,Low
It's good when compare with my Btech lectures and teaching activities.,Positive,Teaching,Low
way of teaching is good,Positive,Teaching,Low
"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine. ",Neutral,Teaching,Low
As compared to other colleges and university our university is perfect in all the aspects,Positive,Teaching,Low
Lectures helps in clear our concept,Positive,Teaching,Low
"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student.",Neutral,Teaching,Medium
"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input. ",Positive,Teaching,Medium
lecturer are punctual and can interact them easily.,Positive,Teaching,Low
Punctuality is good. Most of the teachers are not interacting with students .,Neutral,Teaching,Low
nice,Positive,Teaching,Low
lecture delivery is not so good,Negative,Teaching,Low
It's good,Positive,Teaching,Low
"Discipline, punctuality , lecture delivery all are good but hv to do some work for quality of lecture",Positive,Teaching,Low
"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems",Neutral,Teaching,High
Perfect,Positive,Teaching,Low
It is really gud,Positive,Teaching,Low
Very good teaching and management but too much load on student and working hours,Neutral,Teaching,Low
in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they donot interact and do not litsn our problms that means they do not coprate.,Negative,Teaching,Medium
According to me everything is going well in accordance to interaction.More than enough is served. ,Positive,Teaching,Low
not effective and satisfactory in terms of lecture delivery by all the faculty .,Negative,Teaching,Low
Accurate,Positive,Teaching,Low
it is good depending on the faculty,Positive,Teaching,Low
"maintained punctuality, good lecture delivery",Positive,Teaching,Low
average,Neutral,Teaching,Low
good,Positive,Teaching,Low
"it is quite good , depending on teacher and their experience",Positive,Teaching,Low
"it is quite good , depends upon teacher and their experience",Positive,Teaching,Low
the way of teaching is good but the time more than enough,Positive,Teaching,Low
good teaching delivery,Positive,Teaching,Low
"good, teacher is delivery the lecture in the best way they can",Positive,Teaching,Low
good and qualified teachers but few lacks in interaction with students and fails to describe a topic,Neutral,Teaching,Medium
"very good teaching facilities, lecture given are fruitful and teachers are punctual",Positive,Teaching,Low
interaction is good but not with mostly male lecturers.punctuality is maintained by everyone but lecture delivery not peak quality.,Neutral,Teaching,Low
all things are good,Positive,Teaching,Low
all activties are good,Positive,Teaching,Low
All is good. no other university is so serious about the concept of practicals.,Positive,Teaching,High
"lecture delivery depends on teacher's knowledge, punctuality is good",Positive,Teaching,Low
way of teaching is average,Positive,Teaching,Low
not so good,Negative,Teaching,Low
the staff is highly punctual ad interactive and encourage students to participate in the class,Positive,Teaching,Low
"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved",Positive,Teaching,Low
good delivery,Positive,Teaching,Low
"our university is good in terms of lecture delivery,interaction and punctuality",Positive,Teaching,Low
very good,Positive,Teaching,Low
"interaction satisfied, lecture delivery good,punctuality always on time",Positive,Teaching,Low
Excellent but it depends upon teacher,Positive,Teaching,Low
 very good.,Positive,Teaching,Low
it is ok,Positive,Teaching,Low
some teachers aren't doing their jobs in very well manner,Negative,Teaching,Low
Some of the teachers are not well experienced but they are interactive and helpful and punctual.,Positive,Teaching,Low
not all the teachers are teaching well but it's fine,Neutral,Teaching,Low
EXCELLENT,Positive,Teaching,Low
"The faculty is good ,interaction between student and teacher is also good",Positive,Teaching,Low
not good,Negative,Teaching,Low
some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++),Negative,Teaching,High
its to good ,Positive,Teaching,Low
everything is good ,Positive,Teaching,Low
"everything is good but when coming to some lectures who dont have a good grip on subject,they dont behave well with students and they dont even teach all the concepts in the subject. ",Negative,Teaching,Low
excellent,Positive,Teaching,Low
"everything was good regarding to university but, some lecturers don't have grip on the subject and lag in the teaching",Neutral,Teaching,Low
normal,Neutral,Teaching,Low
teaching activities of our university is good. i am satisfied with it.,Positive,Teaching,Low
GOOD,Positive,Teaching,Low
everything is good for faculty,Positive,Teaching,Low
satisfactory,Positive,Teaching,Low
all are good,Positive,Teaching,Low
good but not good . sir improve the subject,Neutral,Teaching,Low
"The university is good but it also has a long way to go. More teachers should have their PhD and college fests related to academic curriculum must be improved to a great extent and must be managed properly.The interaction is good, lecture delivery needs more lucidity. The punctuality is top notch.",Neutral,Teaching,Low
"our university is good in punctuality,lecture delivery but it is not good in terms of interaction",Positive,Teaching,Low
"interaction is very less ,when it comes to lecture delivery its fine but the co cordination not there between the lectueres",Negative,Teaching,Low
All lectures are giving their best to teach the students,Positive,Teaching,Low
our university is very good but in terms of interaction of teachers wd students is not at all fair because they interact wd only students understands his/her teaching they don't make remaining students to understand the topic ,Negative,Teaching,Low
The university consists of a whole world in itself.It is diverse and manages to conduct all events properly.I love being the part of this university where we get equal and all opportunities in all respects and fields.,Positive,Teaching,Low
"teachers are pretty interactive,But it all depends on the student to gain as much as knowledge he can from the teacher.Teachers are punctual and very helpful during exams time.",Positive,Teaching,Low
teaching delivery is good .but it is better to reduce there speed of  lecture delivery to understand the student better,Neutral,Teaching,Low
"overall rating on this activity is 4.5/5 .very nice teaching and interaction between students and lectures was good, every time there will be new and fresh style in  delivering the lectures ,thanks.


 ",Positive,Teaching,Low
"excellent, but reduse the speed of teaching  ,up to understand the students",Neutral,Teaching,Low
"teaching is ok but the interaction with the students need to improve, i mean they have to focus on dull students more  than intelligents....",Neutral,Teaching,Low
Interaction is good but it should b more ...rest is too perfect,Positive,Teaching,Low
"teachers are good in subject,and punctuality",Positive,Teaching,Low
Everything would be fine if there are less number of students in our btech CSE.,Neutral,Teaching,Low
good ,Positive,Teaching,Low
faculties are doing quite well but need more senior lecturers.,Neutral,Teaching,Low
satisfied,Positive,Teaching,Low
"examination department is not good, teaching is quite good, I cant get extra time for extra knowledge, interaction is good


",Positive,Teaching,Low
Well and Good,Positive,Teaching,Low
university management is extordinary but some of the faculty is very bad,Neutral,Teaching,Medium
"some lectures are excellent,but not everyone",Neutral,Teaching,Low
It is very good learning in this university,Positive,Teaching,Low
its  booring,Neutral,Teaching,Low
teaching is good but some lecturers are showing partiality between south people and north people,Neutral,Teaching,Low
"teaching is good but some teachers are not able to interact properly and are not able to clear the concepts properly, teachers are punctual. 
",Neutral,Teaching,Low
"Everything is very good. Interaction part is something like teachers mostly interact with each and every student, lecture delivery is very good and punctuality always maintains.",Positive,Teaching,Low
"I am very much satisfied with teaching faculty interms of iteraction,lecture delivery, punctuality etc",Positive,Teaching,Low
they are showing partiality between north indians and south indians,Negative,Teaching,Low
"Interaction is satisfying, Lecture delivery is Good, Punctuality is Excellent

",Positive,Teaching,Low
staff is showing partiality between north indians and south indians ,Negative,Teaching,Low
excellent university  the mode of teaching is completely different than any other university in india. lecturers are very friendly with every one they interact just like friends and they are very punctual,Positive,Teaching,Low
lecture delivery and punctuality was good but the interaction with students was not good.,Neutral,Teaching,Low
punctuality and lecture is good here but interaction isn't good.,Neutral,Teaching,Low
good enough,Positive,Teaching,Low
"In this university there is good interaction with the students, Teachers in this university can deliver the lectures effectively, There is good punctuality in this university

",Positive,Teaching,Low
Very good indeed. ,Positive,Teaching,Low
"Teaching is excellent,but lecture delivery is not up to the mark.Punctuality is good",Positive,Teaching,Low
interaction of some faculty was good but not all faculty..,Neutral,Teaching,Low
"good, and also like the teaching style",Positive,Teaching,Low
"Interaction between students and teachers is good ,The lectures delivery is fine, punctuality is good
 

",Positive,Teaching,Low
not bad,Positive,Teaching,Medium
Its Quite Good,Positive,Teaching,Low
very good indeed,Positive,Teaching,Low
not bad..,Positive,Teaching,Medium
teaching is good some lecturers are showing partiality between south people and north people,Neutral,Teaching,Low
I WAS A STUDENT OF A BOARDING SCHOOL .....(jnv) I STUDIED FOR 7  YEARS THERE RESIDING IN HOSTEL ..NOW LIVING IN LPU IS SAME LIKE THAT..AND STILL MORE SAME AND PUNCTUALITY IS SHOWN HERE BY BOTH TEACHERS AND STUDENTS...AND ALSO BY THE STAFF..          SECURITY IS ABOVE 90%(IN CASE OF  STUDENT IS WELL MANURED)  ....CLASSES REGULAR ....SPORTS DAILY.....PARTICIPATION WELL/.......QUALITY BELOW AVERAGE,Neutral,Teaching,Low
All terms are good regarding the university activities,Positive,Teaching,Low
intraction is good and leacture delivery also good and then punctuality is also is good,Positive,Teaching,Low
all the given terms are good regarding the university ,Positive,Teaching,Low
All the terms are good regarding the university activities.,Positive,Teaching,Low
Some of the teacher are un experienced. Also they are unfair and baised. Infact many of the teachers are having few or no experience about the subject ,Negative,Teaching,Low
IT IS GOING GOOD,Positive,Teaching,Low
content of courses are average,Neutral,Course Content,Low
Not good,Negative,Course Content,Low
All courses material provide very good knowledge in depth .,Positive,Course Content,Low
